-6998.61362263185,-5193.39441562756,-2446.56912616939,-1852.65456525379,-2162.20654506665,-2001.15988769705,-1505.80561114263,-1782.77083564842,-1754.86902641085,-1322.34156320315,-822.061906109071,-688.094821950606,-468.293382156718,-245.242874035184,-77.5349119013124
8192,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,8192,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,4096,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,2048,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,2048,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,2048,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1024,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1024,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1024,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1024,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,512,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,512,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,256,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,128,0
